map_name,map_size,obstacles_number,num_agents,solver,solved,soc,makespan,simulation_time
random-32-32-20.map,1024,205,100,DCMAPF,True,3558,87,15.1
random-32-32-20.map,1024,205,100,DCMAPF,True,3115,131,17.5
random-32-32-20.map,1024,205,150,DCMAPF,True,5015,73,22.8
random-32-32-20.map,1024,205,150,DCMAPF,True,5184,73,24.2
random-32-32-20.map,1024,205,150,DCMAPF,True,6387,118,34.4
random-32-32-20.map,1024,205,150,DCMAPF,True,6253,116,34.7
random-32-32-20.map,1024,205,150,DCMAPF,True,5485,137,35.7
random-32-32-20.map,1024,205,150,DCMAPF,True,5488,74,25.0
random-32-32-20.map,1024,205,150,DCMAPF,True,5870,84,28.8
random-32-32-20.map,1024,205,150,DCMAPF,True,5729,100,31.0
random-32-32-20.map,1024,205,150,DCMAPF,True,5058,107,31.5
random-32-32-20.map,1024,205,150,DCMAPF,True,6884,127,36.9
random-32-32-20.map,1024,205,150,DCMAPF,True,5629,94,38.7
random-32-32-20.map,1024,205,150,DCMAPF,True,5768,90,38.7
random-32-32-20.map,1024,205,150,DCMAPF,True,6275,105,44.4
random-32-32-20.map,1024,205,150,DCMAPF,True,6487,118,46.4
random-32-32-20.map,1024,205,150,DCMAPF,True,7690,133,51.1
random-32-32-20.map,1024,205,150,DCMAPF,True,5423,78,26.6
random-32-32-20.map,1024,205,150,DCMAPF,True,6210,95,34.1
random-32-32-20.map,1024,205,150,DCMAPF,True,5936,113,36.0
random-32-32-20.map,1024,205,150,DCMAPF,True,6443,107,36.0
random-32-32-20.map,1024,205,150,DCMAPF,True,6718,108,37.0
random-32-32-20.map,1024,205,150,DCMAPF,True,5374,83,27.9
random-32-32-20.map,1024,205,150,DCMAPF,True,5433,88,29.4
random-32-32-20.map,1024,205,150,DCMAPF,True,5927,108,33.2
random-32-32-20.map,1024,205,150,DCMAPF,True,6335,106,34.9
random-32-32-20.map,1024,205,150,DCMAPF,True,6887,125,38.5
random-32-32-20.map,1024,205,200,DCMAPF,True,9118,99,62.1
random-32-32-20.map,1024,205,200,DCMAPF,True,9425,133,90.0
random-32-32-20.map,1024,205,200,DCMAPF,True,9658,135,92.4
random-32-32-20.map,1024,205,200,DCMAPF,True,9616,189,109.1
random-32-32-20.map,1024,205,200,DCMAPF,True,11853,175,110.3
random-32-32-20.map,1024,205,200,DCMAPF,True,9412,116,75.5
random-32-32-20.map,1024,205,200,DCMAPF,True,9879,121,76.5
random-32-32-20.map,1024,205,200,DCMAPF,True,11210,138,89.5
random-32-32-20.map,1024,205,200,DCMAPF,True,11595,148,92.4
random-32-32-20.map,1024,205,200,DCMAPF,True,10523,164,94.0
random-32-32-20.map,1024,205,200,DCMAPF,True,9740,120,72.0
random-32-32-20.map,1024,205,200,DCMAPF,True,9442,124,73.7
random-32-32-20.map,1024,205,200,DCMAPF,True,10186,149,84.0
random-32-32-20.map,1024,205,200,DCMAPF,True,11690,137,85.2
random-32-32-20.map,1024,205,200,DCMAPF,True,11326,153,88.3
random-32-32-20.map,1024,205,200,DCMAPF,True,9230,116,66.1
